,Company,Regional Data,Company Size,Industry,Revenue,Founded,Job Description
277,Hallmark Housekeeping Services Inc.,"1 Blue Jays Way, Toronto, ON","1001 to 5,000",Construction,less than $1M (USD),1977.0,"Canada’s premium service provider. Leading the industry in sustainable and innovative solutions.
JOB POSTING Date: August 30th, 2023Rogers Centre 
Position: Supervisor (2 openings)Hours of work: Monday to Friday from 11:00 p.m. to 7:30 a.m. (8 hours)Start Date: ASAP
Corporate Overview: Hallmark Housekeeping Services Inc. is Canada’s premium commercial janitorial service provider, leading the industry in sustainable and innovative solutions. Our focus is to serve our customers by providing a consistent and superior level of cleaning services in an economical, safe, and environmentally responsible manner. As an employer of choice, Hallmark fosters a positive environment for all staff and strives to continually invest in the development and well-being of all team members.
Position Summary:
Oversee the completion of all janitorial tasksCheck and inspect all assigned areas and floorsOrganize and distribute cleaning supplies, equipment, keys, and access cards to all staffDelegate duties, train employees, and ensure all the requests are completed in a timely mannerFollow labour budgets prepared by Hallmark ManagementPerform regular Quality Assurance inspections and advise staff of any deficiencies found and ensure they are correctedCollaborate with other supervisors and team leadersCollaborate with Tenants and Property Management to ensure all requests and concerns are completed promptlyAttend Inspections with Property Management and/or Tenants upon request or when requiredCommunicate with the Resident Manager when requiredEnsure that the Company’s Health and Safety Rules and Procedures are carefully followedPerform any additional duties as assigned by Management
Qualifications:
Must be fluent in English and have excellent communication skills, both written and verbal (bilingual and multilingual is a plus)
Must be flexible with work hours and available for weekends and holidays if neededExperience in the janitorial or service industryPassion for working with others and providing outstanding customer serviceDemonstrated interpersonal skillsStrong computer and technical skills, with proficiency in MS Office (PowerPoint, Excel, Word, Outlook) and AdobeProven strength in leadership ability
Please email your resume to acabral@hallmarkhousekeeping.com if interested.
Hallmark Housekeeping Services Inc. is an equal opportunity employer, and does not discriminate against any applicant on the basis of race, ethnicity, age, gender, sex, disability, religion, or any other protected ground under the Human Rights Code. Should any applicant
require accommodations during the course of the recruitment process, all efforts will be made to provide such accommodations.
Job Type: Full-time
Salary: $16.00-$17.00 per hour
Schedule:

8 hour shift
Evening shift
Monday to Friday
Night shift
Weekends as needed

Work Location: In person"
278,decorastone,"Fredericton, NB",,,,,"✧ decorastone is a branch of Calgary Countertops, brought to Fredericton and the surrounding New Brunswick areas by Eric Rogers.
✧ decorastone specializes in resurfacing kitchen and bathroom counters and tile to create the look of granite at an affordable price.
Our work is professional, challenging, and fast-paced.
Our work environment includes:

Growth opportunities
On-the-job training
Safe work environment

Title: Installation Expert
Employee Working Location: Southern and Central New Brunswick
Employment status: Full time
Salary band: $19.00 - $21.00 /hour for training, then an increase upon completion
---------------
decorastone, a local growing company, requires an Installation Expert to fill one full time position. Our company specializes in residential and commercial countertop resurfacing. We apply a proprietary liquid overlay system called decorastone on to existing laminate countertops, tile, cultured marble sinks, etc. which modernizes these old/damaged surfaces. This is a unique industry, and we are not looking for anyone with experience as we'll provide full training. Please visit our website www.decorastone.ca for additional information.
--------------
As an Installer you will:
Receive on the job training, then the candidate will be expected to:
- Arrive to the job site on time and greet the customer.
- Move any appliances and prepare the area for the installation.
- Unload the materials then clean all surfaces to the highest standard, in preparation for resurfacing.
- Perform specialized tasks and follow specific step-by-step instructions to install the product.
- Effectively and safely use the provided tools.
- Clean work area and educate customer about product care once the work is complete.
What we are looking for:
- Candidate at least 18 years of age with a high school diploma
- Must have a valid drivers’ license and be bondable.
- 2 years of experience in working with hand and basic power tools; or an equivalent combination of education and experience.
- Able to lift and carry up to 50lbs and stand for long periods.
- Strong verbal communication skills and ability to work independently and as part of a team.
- Comfortable wearing Personal Protective Equipment (PPE) such as masks and gloves.
- Preference will be given to candidates with basic auto body, spray coating or tile setting experience.
- Candidate must be clean, hardworking, honest, reliable, and have good interpersonal skills as they will be dealing with customers on a regular basis.
Working Conditions:
- Typically work is Monday - Friday but may include the odd Saturday.
- Work will often involve out of town travel. Overnight travel would be limited and would generally not be longer than 1-2 nights.
- Some long hours are expected – once a job is started, it needs to be finished often in the same day. (Days range from 6-11 hours but are often in the 8–9-hour range.)
- Attention to detail is critical to ensure a high-quality job. To test this, please ensure the first line of your cover letter reads ‘ I understand your need for attention to detail’.
- Heavy lifting is required when moving equipment and when moving appliances.
-------------
Salary during training is $19-$21 per hour and $22-$25 per hour, when training is completed.
4-month probationary period will be in effect with health benefits available after 6 months.
Holiday pay is added weekly and therefore with notice you are welcome to book off as many (unpaid) holidays as required.
Vehicle allowance, company vehicle may also be available for the right candidate. The candidate will need a cell phone, and some knowledge of email/web applications. Pay is done weekly via direct deposit with full government deductions and T4s.
decorastone is happy to maintain an A+ rating with the Better Business Bureau and has only 5-star, excellent reviews on our Facebook page and Google. We encourage you to take the time to read some of our customer’s reviews to better understand our standards.
Qualified applicants are encouraged to apply as soon as possible - those who apply after the selection process has started may be held for a second review if needed OR reviewed for alternative roles.
We appreciate the time and effort it takes to apply and thank you in advance.
Job Type: Full-time
Salary: $19.00-$25.00 per hour
Benefits:

Casual dress
Extended health care

Flexible Language Requirement:

French not required

Schedule:

Monday to Friday
Weekends as needed

Application question(s):

Do you have a current, clear criminal record and vulnerable sector check? Or are you willing to produce one within 30 days?

Language:

English (required)

Licence/Certification:

Class 5 Licence (required)

Shift availability:

Day Shift (preferred)

Work Location: In person"
279,Levante Living - Rogers cove,"Huntsville, ON",,,,,"· Notifies the Director of Wellness of any resident and/or family concerns.
· Attends and actively participates in daily communication meetings
· Provides feedback in the assessment of residents and in the development of their care plans.
· Notifies Director of Wellness when Care Plan does not match the care being provided.
· Answers call bells in a timely manner.
· Observe and report any resident changes in condition
· Complete nursing documentation if applicable as per residence policies and guidelines.
· Deals courteously with staff, residents, resident families and visitors.
· Helps residents maintain independence, promotes dignity and physical safety of each resident.
· Strives to understand and respond to each resident with empathy, always remaining mindful of the resident’s unique communication patterns, history and basic human needs.
· Provide emergency first aid/nursing care until appropriate medical care is available.
· Assist with resident admissions and discharges when required.
· Assist with any other duties as directed by the Director of Wellness.
Physical Demands:
· Standing for long periods of time.
· Walking and up/down staircases.
· Typing and/or use of a computer keyboard proficiently.
· Pulling/pushing/lifting to open and/or relocate binders, carts, etc. up to 50lbs.
· Bending, kneeling, providing walking support for residents in the provision of resident care where required.
· Dexterity required to open pouches/blister packs, insert test strips into glucometers, etc (as applicable – see Medication Administration (UCPS only).
· Reading/seeing documentation both in paper format and on a computer screen.
· Speaking/communicating effectively with others
Job Types: Part-time, Permanent, Casual
Salary: $18.75 per hour
Benefits:

On-site parking

Schedule:

Day shift
Evening shift
Night shift
Weekends as needed

Work Location: In person"
280,AICEIM Construction Ltd.,"Calgary, AB",,,,,"AICEIM Construction Ltd. is a contracting company with operations in Calgary, Alberta and surrounding area. We specialize in consulting, design, procurement and installation of shallow utilities for residential and commercial development.
AICEIM is a growing business looking for an experienced Shallow Utility Lead Hand to join our team performing work in Calgary and surrounding areas (mainly surrounding areas such as Airdrie, Cochrane, Carstairs, Okotoks, Chestermere, etc…)
Description: The Shallow Utility Lead Hand will take the lead over the remainder of the crew (labourers and operators) under guidance and supervision or in collaboration with the Foreman. Main scope of work will pertain to 4-party shallow utility installation for new residential / commercial developments. Other various tasks will be included in scope.
Duties:

Participate in and contribute to daily job site hazard assessments and weekly safety meetings. Lead the daily hazard assessment meeting when the Foreman is not available.
Installing and guiding other workers on the installation of pre-cast concrete structures (streetlight bases, transformer bases, pull boxes), underground fibre glass vaults and above ground pedestals paying attention and adhering to grades provided.
Installing and guiding other workers on the installation of single & three phase transformers and switching cubicles + other related electrical apparatus.
Installation of grounding and testing of that grounding for the above-mentioned structures.
Working off survey points provided to plot out and install conduits / cables in the correct location for future installation of above-mentioned structures with or without other workers.
Installing and guiding other workers on the installation of racking cables in above mentioned structures.
Placing and leading other crew members in the placement of conduit & different types of cables in trench.
Take the lead in pulling of power and telecommunication cables through conduits.
Assisting in trenching, excavating, sanding, & backfill of trenches.
Take the lead in setting streetlights.
Terminations of streetlights and secondary pedestals for Fortis Alberta equipment if qualified.
Material hauling, organizing and site cleanup. Must be able to lift 50 lbs comfortably. Must be able to walk and stand for long periods.

Skills, Abilities & Experience:

Safety credentials and a safety first attitude (safety orientation will be done upon hiring)
Class 5 Drivers License with a clean abstract. Q Endorsement (Air Brake) would be very beneficial. 
Must be experienced working with and operating digger derricks in a safe manner.
Experience working in shallow utilities is a must. Minimum 1 year experience.
Experience working with Fortis Alberta design and construction standards is a must. Experience working with Enmax design and construction standards would be a strong asset.
Experience working with Telus, Shaw (Rogers), Atco Gas designs and procedures is a must.
Experience working around heavy equipment.
Willing and able to commute. Most work will be around Calgary but be prepared for the possibility of travel throughout Alberta. Reliable transportation is a must.
Demonstrated ability to deliver the needs of the Lead Hand role.
Ability to multi-task and handle deadlines.
Self-motivated, able to work well independently or in a team environment.
Need to be reliable, punctual and willing to learn.
Strong interpersonal and communication skills, able to develop strong business relationships in a professional manner.
Must be proficient in the English language.
Strong attention to detail and problem-solving skills.
Hard working, team player dedicated to company success,

Other Potential Duties:

Will vary, nothing unreasonable will be asked of you.

Job Type: Full-time
Salary: $25.00-$35.00 per hour
Benefits:

Disability insurance
Extended health care
Life insurance
Vision care

Flexible Language Requirement:

French not required

Schedule:

10 hour shift
Day shift
Monday to Friday
Overtime
Weekends as needed

Supplemental pay types:

Overtime pay

Ability to commute/relocate:

Calgary, AB: reliably commute or plan to relocate before starting work (required)

Experience:

Utility: 1 year (required)

Language:

English (required)

Licence/Certification:

Driving Licence (required)

Work Location: In person"
281,Jarlette,"27 Rogers Cove Dr, Huntsville, ON","1001 to 5,000",Healthcare,,1970.0,"


Join Our Team as a Resident Attendant!

Full-time!


 Muskoka Landing Retirement Lodge
    27 Rogers Cove Drive, Huntsville, ON
  

 Are you looking for a new dynamic, collaborative and inspiring environment? You will join the Muskoka Landing Retirement team right from the beginning wherein you will be an integral part in helping to create an atmosphere of collaboration, passion and person centered care. If a fresh canvas of collaboration, teamwork and culture are something that excites you, APPLY TODAY!
  

 Jarlette Health Services is a family-centric organization that has built a tradition of excellence in making an outstanding difference in the lives of the residents, families, employees, and communities it serves. As a proudly Canadian organization, with 14 Long Term Care Homes and 7 Retirement Lodges across Ontario, Jarlette Health Services has established itself as an industry leader with over 50 years of experience in the dynamic senior care sector.
  

 At this time, we are looking for passionate, results-driven individuals to join and grow with our team. Jarlette Health Services is proud to offer competitive wages, benefit packages and career advancement opportunities. As a resident attendant, you will be assisting and attending to the care needs of residents such as Personal care, general housekeeping, meal service and medication administration.
  

 Ideal Candidate Traits & Qualifications:
  


 Current CPR & First Aid Certification
 Experience with seniors, hospitality or recreation is an asset\
 Must demonstrate good communication skills
 Must demonstrate an active interest in ongoing education
 Computer literate is preferred
 Preference given to applicants with UCP training â€“ Donâ€™t have the training? Donâ€™t worry â€“ we provide training opportunities for you!


 Join Our Team as a Resident Attendant!

Evenings - Part-time and Full-time!



 Muskoka Landing Retirement Lodge
    27 Rogers Cove Drive, Huntsville, ON
  


 Are you looking for a new dynamic, collaborative and inspiring environment? You will join the Muskoka Landing Retirement team right from the beginning wherein you will be an integral part in helping to create an atmosphere of collaboration, passion and person centered care. If a fresh canvas of collaboration, teamwork and culture are something that excites you, APPLY TODAY!
  


 Jarlette Health Services is a family-centric organization that has built a tradition of excellence in making an outstanding difference in the lives of the residents, families, employees, and communities it serves. As a proudly Canadian organization, with 14 Long Term Care Homes and 7 Retirement Lodges across Ontario, Jarlette Health Services has established itself as an industry leader with over 50 years of experience in the dynamic senior care sector.
  


 At this time, we are looking for passionate, results-driven individuals to join and grow with our team. Jarlette Health Services is proud to offer competitive wages, benefit packages and career advancement opportunities. As a resident attendant, you will be assisting and attending to the care needs of residents such as Personal care, general housekeeping, meal service and medication administration.
  


 Ideal Candidate Traits & Qualifications:
  

 Must possess current CPR and First Aid
 Administration of Medication Certificate or equivalent medication administration training
 Experience with recreational programs preferred
 Must demonstrate good communications skills
 Must demonstrate an active interest in ongoing education
 Prior experience in Retirement Lodge/Gerontology an asset
 Must be computer literate


 Please note, all applicants must be legally entitled to work in Canada. Employment with Jarlette Health Services will be contingent on proof of full vaccination against COVID-19, a screening for tuberculosis, receipt of a current criminal reference check, including vulnerable sector screening and two ( 2 ) references.
 Jarlette Health Services is an equal opportunity employer and will accommodate individuals with disabilities through each stage of the recruitment process. Should you require an accommodation, please let us know.
 We thank all applicants for their interest. However only those selected for further consideration will be contacted.

 Note during COVID-19: At the outset of the COVID-19 situation in Canada, Jarlette Health Services implemented heightened precautionary protocols in all of our homes. We continue to follow the advice of provincial and federal governments, our sector regulators and local Public Health agencies. Job responsibilities are being reviewed and adjusted accordingly to ensure the well-being of the successful candidate.


"
282,Acera Insurance Ltd,"Calgary, AB",,,,,"To apply for a position, please go to https://www.rogersinsurance.ca/about-us/alberta-insurance-careers/and complete an online profile/application. We will no longer accept resumes via email.
We put our people first. As an employer of choice, Acera Insurance, formerly Rogers Insurance, offers an outstanding workplace and employee culture that creates valuable opportunities for all employees.
Our people are:

Encouraged to challenge the status quo and never stop learning in their commitment to excellence.
Empowered with a sense of accountability and autonomy to take ownership of their work.
Treated with respect and act with integrity by putting clients, colleagues, and community first.
Recognized for their achievements and celebrate festivities, big and small, to make work fun.

We also proudly offer most employees the opportunity to become owners. With over 550 employee owners, Acera Insurance is the only Canadian brokerage that is widely owned by its employees. Our employee owners have a vested interest and get to share in Acera Insurance’s success — which they make possible.
Join our award-winning network of over 1,000 professionals across Canada and change the way people feel about insurance.
GRAPHIC DESIGNER
We are looking for a creative person that possesses a strong combination of design and communication skills. As a Graphic Designer, you will support our brand, enhance the experience of our customers, have a keen eye for detail, and be able to deliver strategic and tactical design solutions in a fast-paced environment. As a member of our marketing and communications team, you will be a brand champion and key member of our business development team.
LOCATION AND STATUS

Calgary
Full-time, Permanent

Your responsibilities will include, but not limited to:

Infuse creativity into every design project, from concept to execution, to craft compelling visual narratives that engage and resonate with our target audiences.
Bring fresh and innovative ideas to the table to create print and digital designs to support the marketing initiatives of departments and programs across Acera Insurance.
Create marketing collateral, including brochures, flyers, posters, social media graphics and digital advertisements.
Work as part of a multi-functional team to plan and support internal and external initiatives including events, conferences and trade shows.
Collaborate with subject matter experts and writers to prepare submissions, request for proposals and business development presentations.
Communicate with clients or stakeholders to understand and deliver project objectives and requirements.
Contribute to the evolution of our unified brand strategy and identity.
Prepare designs for print, including setting up files with appropriate crop, bleed, color modes, and resolution, and monitor the printing process for consistency and quality.
Edit and retouch photographs and images to ensure quality and suitability for design projects and optimize images for digital and print use.

QUALIFICATIONS

2-5 years of Graphic Design experience.
Post-secondary education in Graphic Design or related field.
Portfolio that demonstrates qualifications.
Strong understanding of the Adobe Creative Suite (Photoshop, Illustrator, InDesign, etc.), and other graphic design software.
Expert with the Microsoft Office Suite of products, including PowerPoint, Word, and Excel; exceptional understanding of Word formatting and layout.
Experience working with collaboration tools like Microsoft Teams.
Ability to illustrate, design and manipulate vector graphics.
Knowledge and experience with in-house print production, paper stocks and finishes.
Photo and video production / editing experience would be an asset.

VALUES & COMPETENCIES

Strong understanding of brand guidelines, typography, color theory and design principles.
A meticulous eye for detail and a commitment to delivering high-quality design work that aligns with our brand.
Demonstrated accountability and reliability in the quality and timeliness of work.
Ability to manage competing priorities and meet tight deadlines.
Effective communication skills to articulate the importance of brand consistency to team members and stakeholders.
Flexibility in work style and willing to work in an open workspace.
Works well within a team and independently.
Creative thinker and problem solver who’s not afraid to take initiative.
Strong written and verbal communication skills.
A positive attitude and a sense of humor.

Acera Insurance is one of the largest independent, employee-controlled brokerages in Canada. With over 60 locations across Alberta, British Columbia, Ontario, and the Yukon, and $1 billion in gross written premium, our team provides individuals, families and businesses unbiased insurance and risk management solutions that have a distinct Canadian perspective. Our collaborative work structure combines our people’s strength and expertise to offer greater value, knowledge, and resources to our personal and commercial clients nationwide, including comprehensive group benefits.
Acera Insurance is an equal opportunity employer and is committed to all forms of diversity in the workplace. All qualified individuals are encouraged to apply.
To apply for a position, please go to https://www.rogersinsurance.ca/about-us/alberta-insurance-careers/and complete an online profile/application. We will no longer accept resumes via email.
Job Types: Permanent, Full-time
Benefits:

Dental care
Extended health care
Vision care

Schedule:

Monday to Friday

Education:

Bachelor's Degree (required)

Experience:

Graphic Design: 2 years (preferred)
Adobe Creative Suite: 2 years (preferred)
Microsoft Office Suite: 2 years (preferred)

Work Location: In person"
283,Rogers Communications,"51 Rideau St, Ottawa, ON","more than 10,000",Telecommunications,more than $10B (USD),1960.0,"

At Rogers, our retail team is the heart of our success. They don’t just embrace the latest technology and content—it's part of who they are. They're outgoing and approachable team members who want to share their knowledge and experience with others. They understand that our customers rely on technology to enhance and simplify their lives and they're excited to show customers how our latest products and services can help.

 We’re growing our teams and are looking for retail representatives who are committed to innovating by sharing ideas that have real business impacts and creating a best-in-class customer experience for our communities and neighbours in our retail stores from coast-to-coast-to-coast.

 Let’s help make your passion for the latest technology a career possible. Consider the following opportunity!

 What does it mean to join our Rogers Team?

 At Rogers, our retail team is the heart of our success. Assistant Store Managers are the leaders of tomorrow, and personal and professional development is at the core. If you are looking to further your career in Retail Management, this is the ideal role to propel you to the next rewarding opportunity.

 As an Assistant Store Manager, you can expect to:



 Work with accountable leaders to help drive positive, solution-based customer interactions and experiences


 Encourage and coach your team to create best-in-class customer experiences and meet business goals
 Receive ongoing training and development to ensure you have all the necessary skills to support the team
 Support your store operations with a creative spirit that can adapt to an ever-changing environment
 Promote Rogers & Fido brands, including Rogers Mastercard
 Engage and grow your customer base with personalized communication and outreach to customers via phone calls and business text messaging


 Participate in community events and outreach efforts to support local small businesses.


 What’s in it for you:



 Competitive compensation, with a lucrative management bonus program
 One of the best flex health benefits, RRSP, TFSA and Pension plans in Canada
 Mental Health and support benefits- 100% coverage
 Employee and Family Assistance Program benefit
 Employee discounts that can offer up to 50% off our Rogers & Fido products and services


 A commitment to fostering an inclusive and diverse workplace where all our team members can bring their whole selves to work
 Advance your career growth and development opportunities
 Overtime pay eligibility


 What we’re looking for:



 You have a passion for influencing and inspiring teams
 An ability to deliver on business plans to meet regional, and store targets
 Leadership qualities which foster collaboration within the team


 A progressive thinker with a desire to think outside the box
 Ability to work a flexible schedule (ability to work 40 hours/week)
 You are excited and inspired by technology
 You meet the minimum age of majority (varies by province)


 After you apply
 Candidates will be required to complete an online assessment as a next step. If you are selected to move forward in the process, our recruitment team will reach out to you discuss the position further. Successful candidates will be required to provide consent for and pass Background Check requirements.

  Schedule: Full time Shift: Variable Length of Contract: Not Applicable (Regular Position) Work Location: 51 RIDEAU ST - UNIT #327C (5368), Ottawa, ON Travel Requirements: Up to 10% Posting Category/Function: Retail (Store Management / Corporate) & Store Management Requisition ID: 289953

 At Rogers, we believe the key to a strong business, is a diverse workforce where equity and inclusion are core to making everyone feel like they belong. We do this by embracing our diversity, celebrating our different perspectives, and working towards creating environments that empower our people to bring their whole selves to work. Everyone who applies for a job will be considered. We recognize the business value in creating a workplace where each team member has the tools to reach their full potential by removing any barriers for equal participation. We work with our candidates who are experiencing a disability throughout the recruitment process to ensure that they have what they need to be at their best. Please reach out to our recruiters and hiring managers to begin a conversation about how we can ensure that you deliver your best work. You matter to us! For any questions, please visit the Recruitment Process FAQ.

 Successful candidates will be required to complete a background check as part of the hiring process.  Posting Notes: Retail
"
284,Toronto Blue Jays,"Toronto, ON",201 to 500,Sports & Recreation,$25M to $100M (USD),,"
Overview
 As the Senior Manager of Venue Presentation, you will play a pivotal role in ensuring the optimal appearance and functionality of the Rogers Centre, the home of the Toronto Blue Jays. This involves maintaining overall cleanliness and related services to create a secure, enjoyable, and efficient environment for fans, players, and staff. This leadership position demands a seasoned professional with a robust background in facility management, team leadership, and a dedication to upholding high cleanliness standards.


 Responsibilities (including but not limited to)

Oversee janitorial maintenance, including cleaning, pre and post-event stadium cleaning, daily maintenance, waste management, exterior landscape upkeep, including snow removal and window cleaning.
Develop and implement a strategic plan for janitorial services aligned with organizational goals and objectives.
Identify opportunities for process improvement and cost optimization while maintaining high-quality standards.



 Quality Control:

Establish and enforce quality control measures to ensure janitorial/cleaning services meet or exceed predetermined standards.
Develop and implement quality assurance and improvement programs.
Manage all third-party service providers to ensure they meet key performance indicators (KPIs).



 Vendor and Contractor Management:

Manage relationships with service providers and contractors for janitorial services, grounds maintenance, and any third-party services essential for stadium cleanliness.
Negotiate and maintain agreements to ensure quality and cost-effectiveness.



 Budget Management:

Develop and manage the operating budget, covering expenses, capital improvements, and maintenance costs.
Monitor, forecast, and respond to all financial responsibilities.
Monitor expenses and identify cost-saving opportunities.



 Leadership:

Lead a skilled full-time team, including game day responsibilities of overseeing a crew of 90-100 part-time facility attendants.
Recruit, train, and supervise staff.
Provide leadership, guidance, and motivation.
Conduct regular performance evaluations.



 Sustainability:

Promote and enforce environmentally friendly practices within the ballpark, such as waste management, energy conservation, and sustainability initiatives.
Ensure compliance with environmental regulations.



 Documentation and Reporting:

Maintain detailed records of facility maintenance, vendor agreements, safety reports, and quality assurance documentation.
Prepare regular reports and documentation for management as required.



 QUALIFICATIONS:

Bachelor’s degree in a related field, event management, hospitality, or equivalent work experience.
Minimum of 10+ years of relevant experience.
Experienced and progressive leader.
Willingness to work evenings, weekends, and holidays as required.
Ability to multitask and oversee concurrent projects.
Proficient computer skills in Word, Excel, and PowerPoint.
Superior interpersonal and communication skills required.

"
285,Canucks Sports & Entertainment,"Vancouver, BC",,Sports & Recreation,,1945.0,"

Position: Retail Supervisor
 Department: Retail Operations
 Reports to: Manager, Retail Operations
 We are now inviting enthusiastic, passionate individuals to join our Retail Operations team and be part of the excitement during Canucks games, Warriors games, and concerts at Rogers Arena. We can’t wait to meet you!


 POSITION SUMMARY:
 The Retail Supervisor will be responsible for monitoring sales, staff performance, balancing cash outs, replenishment of product, and assisting the Retail Managers in running the overall retail business. The Supervisor will also provide direction and feedback to the part-time staff team during hockey games and events. This is a part-time, hourly, events-based position.
 A typical shift includes:

Delivering exceptional customer service
Assisting with indirect service initiatives including merchandising, replenishment, floor plans, signage, organization and product layout
Ensuring staff are trained and motivated to provide professional and effective sales service to all customers
Analyzing store’s performance on a continuous basis and strive to achieve and surpass sales goals
Managing and controlling inventory to optimize sales and replenishment
Maintaining the cleanliness of the store, ensuring dusting, sweeping, etc. is being done regularly
Providing feedback to Retail Managers on nightly issues and/or areas that can be improved upon
Merchandising product in accordance with company standards and visual direction
Implementing loss prevention techniques on the sales floor to decrease shrinkage
Striving to hit daily, weekly, and monthly sales goals
Participating in year-end inventory and cycle counts
Accurately handling cash and effectively processing transactions using POS system



 REQUIRED EXPERIENCE AND QUALIFICATIONS:

A secondary school diploma along with a minimum of 2 years of retail work experience
Experience supervising or providing team lead support to staff
Demonstrated ability to work well in a team environment
Enthusiastic, professional, self-motivated, and eager to learn more about the retail industry
Excellent verbal communication skills with a friendly and professional manner
A commitment to service excellence and proven problem-solving skills
Flexible with ability to adapt easily to changing priorities and schedules
Effective time-management skills and ability to multitask in a dynamic, fast-paced environment
Must be able to work holidays, evenings, and weekends as required, as this is an events-based position
If you are a non-Canadian resident, you must hold a valid work permit that expires no earlier than October 2024



 Vancouver is one of the most diverse cities in the world and Canucks Sports & Entertainment strives to create a workforce that is inclusive, equitable, and represents our beautiful, unique community. We value unique perspectives, ideas, and creativity that support a diverse, inclusive, respectful, collaborative, and fun work environment. Canucks Sports & Entertainment is committed to building and supporting a diverse team.
 This position will remain open until filled.

"
286,Software International,Canada,,Information Technology,,,"
Our client is a world wide, Fortune 500 Telecom vendor. They are currently seeking to add an IBM Operational Decision Manager (ODM) Developer - REMOTE to their team to work on some long term projects with Canada's top telecom carriers (BELL/TELUS/Rogers).

 Role: IBM Operational Decision Manager (ODM) Developer - REMOTE 
Type: Contract
 Location: Remote (client has offices in Toronto, Montreal, Ottawa)
 Duration: 12 months + possible long term extensions
 Client: Fortune 500 Telecom vendor
 Rate: $70-80/hr C2C

 Job Description (IBM ODM Dev)
 Our client's project team is looking for someone who knows ODM and can build rules but as importantly, this resource should have actual modelling experience. They want someone who can come in and do the modelling before the execution. As well, the candidate should that kind of mind set, can adapt quickly to modelling in different contexts. 


Position Requirements

Solid knowledge and expertise in IBM ODM 8.X version, Java, J2EE (WebSphere Application Server), Web Services, XML, DB (Oracle or other), Unix/Linux.


At least 5 yrs of technical expertise in the design, development, coding, testing, and debugging of Rules Projects and ensures that projects meets or exceed specified standards and end-user 

requirements.

Experience in migrating from JRules to Operational Decision Management (ODM).


Experience in working on ODM with Websphere.


3yrs of experience in ABRD methodology.


Experience in setting up decision center.


5yrs of experience in development of rule engine or in complex event processing (IBM ODM, JRules, iLog).


Strong communications skills to effectively communicate at different levels of management.


Excellent organizational and coordination skills.


Ability to work both independently and with a team.


Good knowledge of relation database, specifically Oracle (SQL - PL/SQL).


Experience in Design and Development of the following - Decision Table, Decision Tree, Action Rule(BRL), Technical Rule, Rule Flows, BOM and XOM, Synthetic Class, Function Task, Rule Task 

in JRules / WODM / ODM.

Experience in Deployment of Rule App and Rule Sets in Rule Execution server.


Experience in setting up of Decision center for business.


Exposure to SOA.


Strong knowledge of web services.


Experience of test driven development with JUnit.


Experience in a continuous integration environment.


"
287,Hallmark Housekeeping Services Inc.,"1 Blue Jays Way, Toronto, ON","1001 to 5,000",Construction,less than $1M (USD),1977.0,"Canada’s premium service provider. Leading the industry in sustainable and innovative solutions.
JOB POSTING Date: August 30th, 2023Rogers Centre 
Position: Supervisor (2 openings)Hours of work: Monday to Friday from 11:00 p.m. to 7:30 a.m. (8 hours)Start Date: ASAP
Corporate Overview: Hallmark Housekeeping Services Inc. is Canada’s premium commercial janitorial service provider, leading the industry in sustainable and innovative solutions. Our focus is to serve our customers by providing a consistent and superior level of cleaning services in an economical, safe, and environmentally responsible manner. As an employer of choice, Hallmark fosters a positive environment for all staff and strives to continually invest in the development and well-being of all team members.
Position Summary:
Oversee the completion of all janitorial tasksCheck and inspect all assigned areas and floorsOrganize and distribute cleaning supplies, equipment, keys, and access cards to all staffDelegate duties, train employees, and ensure all the requests are completed in a timely mannerFollow labour budgets prepared by Hallmark ManagementPerform regular Quality Assurance inspections and advise staff of any deficiencies found and ensure they are correctedCollaborate with other supervisors and team leadersCollaborate with Tenants and Property Management to ensure all requests and concerns are completed promptlyAttend Inspections with Property Management and/or Tenants upon request or when requiredCommunicate with the Resident Manager when requiredEnsure that the Company’s Health and Safety Rules and Procedures are carefully followedPerform any additional duties as assigned by Management
Qualifications:
Must be fluent in English and have excellent communication skills, both written and verbal (bilingual and multilingual is a plus)
Must be flexible with work hours and available for weekends and holidays if neededExperience in the janitorial or service industryPassion for working with others and providing outstanding customer serviceDemonstrated interpersonal skillsStrong computer and technical skills, with proficiency in MS Office (PowerPoint, Excel, Word, Outlook) and AdobeProven strength in leadership ability
Please email your resume to acabral@hallmarkhousekeeping.com if interested.
Hallmark Housekeeping Services Inc. is an equal opportunity employer, and does not discriminate against any applicant on the basis of race, ethnicity, age, gender, sex, disability, religion, or any other protected ground under the Human Rights Code. Should any applicant
require accommodations during the course of the recruitment process, all efforts will be made to provide such accommodations.
Job Type: Full-time
Salary: $16.00-$17.00 per hour
Schedule:

8 hour shift
Evening shift
Monday to Friday
Night shift
Weekends as needed

Work Location: In person"
